mod,type,dupes,itemId,threadIndex
Item sells for much more to vendors,implicit,1,c95bf692056b828a07a3ca8696c9e09d07bf5ffe6786b803cd94c878597dfec2,2516760
+56 to Dexterity,explicit,1,c95bf692056b828a07a3ca8696c9e09d07bf5ffe6786b803cd94c878597dfec2,2516760
+70% to Global Critical Strike Multiplier,explicit,1,c95bf692056b828a07a3ca8696c9e09d07bf5ffe6786b803cd94c878597dfec2,2516760
+144 to maximum Life,explicit,1,c95bf692056b828a07a3ca8696c9e09d07bf5ffe6786b803cd94c878597dfec2,2516760
Bow Attacks fire an additional Arrow,explicit,1,c95bf692056b828a07a3ca8696c9e09d07bf5ffe6786b803cd94c878597dfec2,2516760
50% increased Damage with Bow Skills,explicit,1,c95bf692056b828a07a3ca8696c9e09d07bf5ffe6786b803cd94c878597dfec2,2516760
32% increased Elemental Damage with Attack Skills,crafted,1,c95bf692056b828a07a3ca8696c9e09d07bf5ffe6786b803cd94c878597dfec2,2516760
5% increased Intelligence,implicit,1,1e74b00b062990c74696d7f56c5e51e4ebfa1bbaf482f8d4371ba73cf7e524ee,2516760
+30% to Global Critical Strike Multiplier,implicit,1,1e74b00b062990c74696d7f56c5e51e4ebfa1bbaf482f8d4371ba73cf7e524ee,2516760
Grace has 20% increased Aura Effect,implicit,1,1e74b00b062990c74696d7f56c5e51e4ebfa1bbaf482f8d4371ba73cf7e524ee,2516760
Item sells for much more to vendors,implicit,1,1e74b00b062990c74696d7f56c5e51e4ebfa1bbaf482f8d4371ba73cf7e524ee,2516760
+35 to Strength and Intelligence,explicit,1,1e74b00b062990c74696d7f56c5e51e4ebfa1bbaf482f8d4371ba73cf7e524ee,2516760
Adds 8 to 140 Lightning Damage to Attacks,explicit,1,1e74b00b062990c74696d7f56c5e51e4ebfa1bbaf482f8d4371ba73cf7e524ee,2516760
Adds 40 to 69 Chaos Damage to Attacks,explicit,1,1e74b00b062990c74696d7f56c5e51e4ebfa1bbaf482f8d4371ba73cf7e524ee,2516760
+41% to Global Critical Strike Multiplier,explicit,1,1e74b00b062990c74696d7f56c5e51e4ebfa1bbaf482f8d4371ba73cf7e524ee,2516760
Bow Attacks fire an additional Arrow,explicit,1,1e74b00b062990c74696d7f56c5e51e4ebfa1bbaf482f8d4371ba73cf7e524ee,2516760
+54 to maximum Mana,crafted,1,1e74b00b062990c74696d7f56c5e51e4ebfa1bbaf482f8d4371ba73cf7e524ee,2516760
37% increased Global Critical Strike Chance,implicit,1,c9d682161127f04fb2a98be0fee74753c447a847590135c2df0c557e22e9302c,2516760
+26% to Global Critical Strike Multiplier,implicit,1,c9d682161127f04fb2a98be0fee74753c447a847590135c2df0c557e22e9302c,2516760
Bow Attacks fire an additional Arrow,implicit,1,c9d682161127f04fb2a98be0fee74753c447a847590135c2df0c557e22e9302c,2516760
Adds 23 to 39 Physical Damage to Attacks,explicit,1,c9d682161127f04fb2a98be0fee74753c447a847590135c2df0c557e22e9302c,2516760
+70% to Global Critical Strike Multiplier,explicit,1,c9d682161127f04fb2a98be0fee74753c447a847590135c2df0c557e22e9302c,2516760
Bow Attacks fire an additional Arrow,explicit,1,c9d682161127f04fb2a98be0fee74753c447a847590135c2df0c557e22e9302c,2516760
40% increased Effect of your Marks,explicit,1,c9d682161127f04fb2a98be0fee74753c447a847590135c2df0c557e22e9302c,2516760
49% increased Damage with Bow Skills,explicit,1,c9d682161127f04fb2a98be0fee74753c447a847590135c2df0c557e22e9302c,2516760
50% increased Elemental Damage with Attack Skills,explicit,1,c9d682161127f04fb2a98be0fee74753c447a847590135c2df0c557e22e9302c,2516760
5% increased Intelligence,implicit,1,ea10561390f61260e6ce9dd74fbbcc079c13475d9697b76293cd5ce58be7f89f,2516760
+30% to Global Critical Strike Multiplier,implicit,1,ea10561390f61260e6ce9dd74fbbcc079c13475d9697b76293cd5ce58be7f89f,2516760
8% increased maximum Mana,implicit,1,ea10561390f61260e6ce9dd74fbbcc079c13475d9697b76293cd5ce58be7f89f,2516760
Item sells for much more to vendors,implicit,1,ea10561390f61260e6ce9dd74fbbcc079c13475d9697b76293cd5ce58be7f89f,2516760
+35 to Strength and Intelligence,explicit,1,ea10561390f61260e6ce9dd74fbbcc079c13475d9697b76293cd5ce58be7f89f,2516760
Adds 11 to 137 Lightning Damage to Attacks,explicit,1,ea10561390f61260e6ce9dd74fbbcc079c13475d9697b76293cd5ce58be7f89f,2516760
+41% to Global Critical Strike Multiplier,explicit,1,ea10561390f61260e6ce9dd74fbbcc079c13475d9697b76293cd5ce58be7f89f,2516760
Bow Attacks fire an additional Arrow,explicit,1,ea10561390f61260e6ce9dd74fbbcc079c13475d9697b76293cd5ce58be7f89f,2516760
50% increased Damage with Bow Skills,explicit,1,ea10561390f61260e6ce9dd74fbbcc079c13475d9697b76293cd5ce58be7f89f,2516760
+54 to maximum Mana,crafted,1,ea10561390f61260e6ce9dd74fbbcc079c13475d9697b76293cd5ce58be7f89f,2516760
+26% to Global Critical Strike Multiplier,implicit,1,2e6f3a6e1eac3f6eeb2ad3224f9056cc23e085c31545671ecd571ec23f7ae43c,2516760
Bow Attacks fire an additional Arrow,implicit,1,2e6f3a6e1eac3f6eeb2ad3224f9056cc23e085c31545671ecd571ec23f7ae43c,2516760
Gain 10% of Physical Damage as Extra Damage of a random Element,implicit,1,2e6f3a6e1eac3f6eeb2ad3224f9056cc23e085c31545671ecd571ec23f7ae43c,2516760
+70% to Global Critical Strike Multiplier,explicit,1,2e6f3a6e1eac3f6eeb2ad3224f9056cc23e085c31545671ecd571ec23f7ae43c,2516760
+134 to maximum Life,explicit,1,2e6f3a6e1eac3f6eeb2ad3224f9056cc23e085c31545671ecd571ec23f7ae43c,2516760
Bow Attacks fire an additional Arrow,explicit,1,2e6f3a6e1eac3f6eeb2ad3224f9056cc23e085c31545671ecd571ec23f7ae43c,2516760
50% increased Damage with Bow Skills,explicit,1,2e6f3a6e1eac3f6eeb2ad3224f9056cc23e085c31545671ecd571ec23f7ae43c,2516760
50% increased Elemental Damage with Attack Skills,explicit,1,2e6f3a6e1eac3f6eeb2ad3224f9056cc23e085c31545671ecd571ec23f7ae43c,2516760
14% increased Global Critical Strike Chance,crafted,1,2e6f3a6e1eac3f6eeb2ad3224f9056cc23e085c31545671ecd571ec23f7ae43c,2516760
5% chance to gain a Frenzy Charge on Critical Strike,crafted,1,2e6f3a6e1eac3f6eeb2ad3224f9056cc23e085c31545671ecd571ec23f7ae43c,2516760
+30% to Global Critical Strike Multiplier,implicit,1,aaa281c14da66afa966343444c487d6636bd867aeea254b1c7dad294eca9188c,2516760
Bow Attacks fire an additional Arrow,implicit,1,aaa281c14da66afa966343444c487d6636bd867aeea254b1c7dad294eca9188c,2516760
20% increased Projectile Speed,implicit,1,aaa281c14da66afa966343444c487d6636bd867aeea254b1c7dad294eca9188c,2516760
Item sells for much more to vendors,implicit,1,aaa281c14da66afa966343444c487d6636bd867aeea254b1c7dad294eca9188c,2516760
Adds 23 to 39 Physical Damage to Attacks,explicit,1,aaa281c14da66afa966343444c487d6636bd867aeea254b1c7dad294eca9188c,2516760
+70% to Global Critical Strike Multiplier,explicit,1,aaa281c14da66afa966343444c487d6636bd867aeea254b1c7dad294eca9188c,2516760
+139 to maximum Life,explicit,1,aaa281c14da66afa966343444c487d6636bd867aeea254b1c7dad294eca9188c,2516760
Bow Attacks fire an additional Arrow,explicit,1,aaa281c14da66afa966343444c487d6636bd867aeea254b1c7dad294eca9188c,2516760
46% increased Projectile Speed,explicit,1,aaa281c14da66afa966343444c487d6636bd867aeea254b1c7dad294eca9188c,2516760
50% increased Damage with Bow Skills,explicit,1,aaa281c14da66afa966343444c487d6636bd867aeea254b1c7dad294eca9188c,2516760
37% increased Global Critical Strike Chance,implicit,1,af5aa55e7fb1577626a9fcfde1921a3437daa4ecc5e35dceb0e9144c6eac0193,2516760
+30% to Global Critical Strike Multiplier,implicit,1,af5aa55e7fb1577626a9fcfde1921a3437daa4ecc5e35dceb0e9144c6eac0193,2516760
Bow Attacks fire an additional Arrow,implicit,1,af5aa55e7fb1577626a9fcfde1921a3437daa4ecc5e35dceb0e9144c6eac0193,2516760
Adds 10 to 140 Lightning Damage to Attacks,explicit,1,af5aa55e7fb1577626a9fcfde1921a3437daa4ecc5e35dceb0e9144c6eac0193,2516760
+70% to Global Critical Strike Multiplier,explicit,1,af5aa55e7fb1577626a9fcfde1921a3437daa4ecc5e35dceb0e9144c6eac0193,2516760
+144 to maximum Life,explicit,1,af5aa55e7fb1577626a9fcfde1921a3437daa4ecc5e35dceb0e9144c6eac0193,2516760
Bow Attacks fire an additional Arrow,explicit,1,af5aa55e7fb1577626a9fcfde1921a3437daa4ecc5e35dceb0e9144c6eac0193,2516760
46% increased Projectile Speed,explicit,1,af5aa55e7fb1577626a9fcfde1921a3437daa4ecc5e35dceb0e9144c6eac0193,2516760
49% increased Damage with Bow Skills,explicit,1,af5aa55e7fb1577626a9fcfde1921a3437daa4ecc5e35dceb0e9144c6eac0193,2516760
8% increased Explicit Speed Modifier magnitudes,enchant,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
+14 to Intelligence,implicit,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
10% increased maximum Energy Shield,implicit,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
Item sells for much more to vendors,implicit,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
1% increased Spell Damage per 16 Intelligence,implicit,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
Has 1 Abyssal Socket,explicit,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
+55 to Intelligence,explicit,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
69% increased Spell Damage,explicit,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
39% increased Cast Speed,explicit,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
+159 to maximum Mana,explicit,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
Gain 5% of Non-Chaos Damage as extra Chaos Damage,explicit,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
Gain 8% of Lightning Damage as Extra Chaos Damage,crafted,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
15% increased Explicit Speed Modifier magnitudes,crucible,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
6% increased Dexterity,crucible,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
6% increased Intelligence,crucible,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
7% increased Spell Damage,crucible,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
10% increased maximum Energy Shield,crucible,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
Regenerate 0.3% of Mana per second,crucible,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
15% chance for Firestorm and Bladefall to affect the same area again when they finish,crucible,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
5% more maximum Mana,crucible,1,9cf7f9db3a3d08d1f5dd81e5ed8921c229f220ec1a34abc8f48a9c4baf637a4e,2516760
15% increased Explicit Physical Modifier magnitudes,enchant,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
200% increased Attribute Requirements,enchant,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
25% increased Physical Damage,implicit,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
Adds 9 to 13 Physical Damage,implicit,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
8% increased Attack Speed,implicit,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
Item sells for much more to vendors,implicit,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
333% increased Physical Damage,explicit,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
Adds 61 to 109 Physical Damage,explicit,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
19% increased Attack Speed,explicit,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
36% increased Critical Strike Chance,explicit,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
Bow Attacks fire 2 additional Arrows,explicit,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
+232 to Accuracy Rating,explicit,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
15% increased Explicit Physical and Chaos Damage Modifier magnitudes,crucible,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
Adds 11 to 26 Physical Damage,crucible,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
30% increased Attack Speed,crucible,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
Trigger Level 20 Tornado when you Attack with Split Arrow or Tornado Shot,crucible,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
15% less Global Damage,crucible,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
Rampage,crucible,1,1f09e1684c97f0bae55561c456f47d57ea54b43ad8741108415a7a9c299b9afd,2516760
8% increased Explicit Physical Modifier magnitudes,enchant,1,9726b009b62d2f9ee95a33075a0bc85fae00def3d5d7b586d6079e43ead16186,2516760
25% increased Physical Damage,implicit,1,9726b009b62d2f9ee95a33075a0bc85fae00def3d5d7b586d6079e43ead16186,2516760
Adds 7 to 10 Physical Damage,implicit,1,9726b009b62d2f9ee95a33075a0bc85fae00def3d5d7b586d6079e43ead16186,2516760
8% increased Attack Speed,implicit,1,9726b009b62d2f9ee95a33075a0bc85fae00def3d5d7b586d6079e43ead16186,2516760
315% increased Physical Damage,explicit,1,9726b009b62d2f9ee95a33075a0bc85fae00def3d5d7b586d6079e43ead16186,2516760
Adds 35 to 63 Physical Damage,explicit,1,9726b009b62d2f9ee95a33075a0bc85fae00def3d5d7b586d6079e43ead16186,2516760
31% increased Attack Speed,explicit,1,9726b009b62d2f9ee95a33075a0bc85fae00def3d5d7b586d6079e43ead16186,2516760
+38% to Global Critical Strike Multiplier,explicit,1,9726b009b62d2f9ee95a33075a0bc85fae00def3d5d7b586d6079e43ead16186,2516760
+237 to Accuracy Rating,explicit,1,9726b009b62d2f9ee95a33075a0bc85fae00def3d5d7b586d6079e43ead16186,2516760
+24 to Strength and Intelligence,crafted,1,9726b009b62d2f9ee95a33075a0bc85fae00def3d5d7b586d6079e43ead16186,2516760
25% increased Critical Strike Chance,crafted,1,9726b009b62d2f9ee95a33075a0bc85fae00def3d5d7b586d6079e43ead16186,2516760
15% increased Explicit Speed Modifier magnitudes,crucible,1,9726b009b62d2f9ee95a33075a0bc85fae00def3d5d7b586d6079e43ead16186,2516760
15% increased Explicit Physical and Chaos Damage Modifier magnitudes,crucible,1,9726b009b62d2f9ee95a33075a0bc85fae00def3d5d7b586d6079e43ead16186,2516760
Adds 6 to 15 Physical Damage,crucible,1,9726b009b62d2f9ee95a33075a0bc85fae00def3d5d7b586d6079e43ead16186,2516760
10% increased Attack Speed,crucible,1,9726b009b62d2f9ee95a33075a0bc85fae00def3d5d7b586d6079e43ead16186,2516760
Knockback direction is reversed with Cyclone and Sweep,crucible,1,9726b009b62d2f9ee95a33075a0bc85fae00def3d5d7b586d6079e43ead16186,2516760
Knock Enemies Back on hit with Cyclone and Sweep,crucible,1,9726b009b62d2f9ee95a33075a0bc85fae00def3d5d7b586d6079e43ead16186,2516760
15% increased Explicit Physical Modifier magnitudes,enchant,1,ee76d1a56c60ab79192d44e0604da2d5f94238941e632655cf91278f17e8c6ea,2516760
200% increased Attribute Requirements,enchant,1,ee76d1a56c60ab79192d44e0604da2d5f94238941e632655cf91278f17e8c6ea,2516760
22% increased Physical Damage,implicit,1,ee76d1a56c60ab79192d44e0604da2d5f94238941e632655cf91278f17e8c6ea,2516760
Adds 9 to 13 Physical Damage,implicit,1,ee76d1a56c60ab79192d44e0604da2d5f94238941e632655cf91278f17e8c6ea,2516760
8% increased Attack Speed,implicit,1,ee76d1a56c60ab79192d44e0604da2d5f94238941e632655cf91278f17e8c6ea,2516760
334% increased Physical Damage,explicit,1,ee76d1a56c60ab79192d44e0604da2d5f94238941e632655cf91278f17e8c6ea,2516760
Adds 61 to 109 Physical Damage,explicit,1,ee76d1a56c60ab79192d44e0604da2d5f94238941e632655cf91278f17e8c6ea,2516760
19% increased Attack Speed,explicit,1,ee76d1a56c60ab79192d44e0604da2d5f94238941e632655cf91278f17e8c6ea,2516760
Bow Attacks fire 2 additional Arrows,explicit,1,ee76d1a56c60ab79192d44e0604da2d5f94238941e632655cf91278f17e8c6ea,2516760
+227 to Accuracy Rating,explicit,1,ee76d1a56c60ab79192d44e0604da2d5f94238941e632655cf91278f17e8c6ea,2516760
13% chance to deal Double Damage,explicit,1,ee76d1a56c60ab79192d44e0604da2d5f94238941e632655cf91278f17e8c6ea,2516760
15% increased Explicit Physical and Chaos Damage Modifier magnitudes,crucible,1,ee76d1a56c60ab79192d44e0604da2d5f94238941e632655cf91278f17e8c6ea,2516760
Adds 11 to 26 Physical Damage,crucible,1,ee76d1a56c60ab79192d44e0604da2d5f94238941e632655cf91278f17e8c6ea,2516760
30% increased Attack Speed,crucible,1,ee76d1a56c60ab79192d44e0604da2d5f94238941e632655cf91278f17e8c6ea,2516760
Trigger Level 20 Tornado when you Attack with Split Arrow or Tornado Shot,crucible,1,ee76d1a56c60ab79192d44e0604da2d5f94238941e632655cf91278f17e8c6ea,2516760
15% less Global Damage,crucible,1,ee76d1a56c60ab79192d44e0604da2d5f94238941e632655cf91278f17e8c6ea,2516760
Rampage,crucible,1,ee76d1a56c60ab79192d44e0604da2d5f94238941e632655cf91278f17e8c6ea,2516760
Quality does not increase Physical Damage,enchant,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
1% increased Critical Strike Chance per 4% Quality,enchant,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
100% of Physical Damage from Hits with this Weapon is Converted to a random Element,implicit,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
Socketed Gems are Supported by Level 20 Increased Critical Strikes,explicit,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
Socketed Gems are Supported by Level 20 Ruthless,explicit,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
Socketed Gems are supported by Level 20 Increased Critical Damage,explicit,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
Socketed Gems are supported by Level 20 Elemental Damage with Attacks,explicit,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
Socketed Skills deal 40% more Attack Damage,explicit,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
134% increased Physical Damage,explicit,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
27% increased Attack Speed,explicit,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
29% increased Critical Strike Chance,explicit,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
+29% to Global Critical Strike Multiplier,explicit,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
37% increased Elemental Damage with Attack Skills,explicit,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
Socketed Gems are Supported by Level 10 Energy Leech,crucible,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
Socketed Gems are Supported by Level 10 Fortify,crucible,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
Adds 1 to 9 Lightning Damage,crucible,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
Tectonic Slam and Infernal Blow deal 1% increased Attack Damage per 700 Armour,crucible,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
Iron Reflexes,crucible,1,8ed9ae530d440ef78dda379601610bb7099f9d1690dc7623c18c484f6be2fbc3,2516760
Quality does not increase Physical Damage,enchant,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
1% increased Attack Speed per 8% Quality,enchant,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
+23% to Global Critical Strike Multiplier,implicit,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
4% increased Damage per Power Charge,implicit,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
Spells have a 10% chance to deal Double Damage,implicit,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
69% increased Spell Damage,explicit,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
30% increased Attack Speed,explicit,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
38% increased Critical Strike Chance,explicit,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
+38% to Global Critical Strike Multiplier,explicit,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
+1 to Level of all Spell Skill Gems,explicit,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
Gain 5% of Non-Chaos Damage as extra Chaos Damage,explicit,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
Hits can't be Evaded,crafted,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
20% increased Spell Damage,crucible,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
10% increased maximum Energy Shield,crucible,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
-1 to Maximum Endurance Charges,crucible,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
-1 to Maximum Frenzy Charges,crucible,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
+1 to Maximum Power Charges,crucible,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
10% reduced Skill Effect Duration,crucible,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
15% increased Cooldown Recovery Rate,crucible,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
Ice Spear and Ball Lightning fire Projectiles in a circle,crucible,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
Ice Spear and Ball Lightning Projectiles Return to you,crucible,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
+0.6% to Spell Critical Strike Chance,crucible,1,4f1c3f86b26d94a708ad8cfb708b2c5a68a5570ba03c1dad0008eabce6b3dc02,2516760
25% reduced Explicit Critical Modifier magnitudes,enchant,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
10% increased Explicit Physical Modifier magnitudes,enchant,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
25% increased Physical Damage,implicit,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
Adds 9 to 13 Physical Damage,implicit,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
Bleeding you inflict deals Damage 35% faster,implicit,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
319% increased Physical Damage,explicit,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
+26% to Damage over Time Multiplier,explicit,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
Adds 58 to 105 Physical Damage,explicit,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
+250 to Accuracy Rating,explicit,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
Attacks have 37% chance to cause Bleeding,explicit,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
62% increased Damage with Bleeding,explicit,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
+25% to Physical Damage over Time Multiplier,crafted,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
15% increased Explicit Physical and Chaos Damage Modifier magnitudes,crucible,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
Socketed Gems are Supported by Level 10 Maim,crucible,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
Adds 11 to 26 Physical Damage,crucible,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
+16% to Quality,crucible,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
Rain of Arrows and Toxic Rain deal 300% more Damage with Bleeding,crucible,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
-60% of Toxic Rain Physical Damage Converted to Chaos Damage,crucible,1,e6be6a66556009b63b83efce873fdf4ae4737b7cc14188120cd6a1e7da58f38c,2516760
25% reduced Explicit Critical Modifier magnitudes,enchant,1,f9cf3aba95003d775abfd2ded4b754f4ab511af061f12e09a3c289d19b8d22dc,2516760
10% increased Explicit Physical Modifier magnitudes,enchant,1,f9cf3aba95003d775abfd2ded4b754f4ab511af061f12e09a3c289d19b8d22dc,2516760
